Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000	83.000000
2	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000	114.000000
3	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000	141.000000
4	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000	163.000000
5	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
6	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000	236.000000
7	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000	248.000000
8	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000	285.000000
9	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000	321.000000
10	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000	334.000000
11	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000	370.000000
12	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000	407.000000
13	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000	419.000000
14	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000	455.000000
15	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000	492.000000
16	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000	504.000000
17	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000	541.000000
18	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000	577.000000
19	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000	589.000000
20	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000	626.000000
21	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000	662.000000
22	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000	674.000000
23	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000	711.000000
24	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000	738.000000
25	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000	774.000000
26	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000	818.000000
27	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000	879.000000
28	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000	923.000000
29	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000	969.000000
30	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000	1042.000000
31	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000	1098.000000
32	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000	1157.000000
33	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000	1218.000000
34	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000	1281.000000
35	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000	1347.000000
36	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000	1415.000000
37	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000	1485.000000
38	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000	1558.000000
39	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000	1634.000000
40	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000	1712.000000
41	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000	1792.000000
42	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000	1875.000000
43	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000	1960.000000
44	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000	2048.000000
45	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000	2138.000000
46	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000	2230.000000
47	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000	2325.000000
