Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
1	23.310699	34.621399	5.221597	37.297119	16.296301	23.310699	30.079258	11.338800	7.352900	16.296301	16.296301	3.000000	200.000000	5.000000	6.000000	8.000000	10.000000
2	24.165054	35.435558	5.772695	38.664085	17.979336	24.165054	30.725483	16.437441	13.789834	18.970312	18.970312	3.000000	200.000000	5.000000	6.000000	8.000000	10.000000
3	24.734625	35.598392	6.276959	39.575397	19.662373	24.734625	30.854729	21.536083	20.226768	21.644325	21.644325	4.000000	200.000000	5.000000	6.000000	8.000000	10.000000
4	25.114338	35.858921	6.747173	40.182941	21.345407	25.114338	31.061520	26.634724	26.663702	24.318338	24.318338	4.000000	200.000000	5.000000	6.000000	8.000000	10.000000
5	25.367479	36.038036	7.192804	40.587967	23.028444	25.367479	31.203690	31.733366	33.100636	26.992350	26.992350	5.000000	200.000000	5.000000	6.000000	8.000000	10.000000
6	25.873764	36.213898	7.721518	41.398026	23.087219	25.873764	31.343275	31.821747	33.209782	27.143208	27.143208	5.000000	200.000000	5.000000	6.000000	8.000000	10.000000
7	27.155298	36.356213	8.508202	43.448475	23.134783	27.155298	31.456234	31.893272	33.298111	27.265289	27.265289	6.000000	200.000000	5.000000	6.000000	8.000000	10.000000
8	28.436831	36.490189	9.333040	45.498928	23.179562	28.436831	31.562578	31.960606	33.381264	27.380219	27.380219	7.000000	200.000000	5.000000	6.000000	8.000000	10.000000
9	29.718363	37.879398	10.196032	47.549381	23.573284	29.718363	32.648537	32.571266	34.174515	28.597120	28.597120	7.000000	200.000000	5.000000	6.000000	8.000000	10.000000
10	30.999897	38.692200	11.097178	49.599834	23.915510	30.999897	33.310383	33.067284	34.747944	29.269165	29.269165	8.000000	600.000000	5.000000	6.000000	8.000000	10.000000
11	32.281429	39.412964	12.036478	51.650288	24.208956	32.281429	33.894913	33.494694	35.246643	29.868689	29.868689	8.000000	600.000000	5.000000	6.000000	8.000000	10.000000
12	33.562962	40.041683	13.013932	53.700741	24.453621	33.562962	34.402122	33.853504	35.670609	30.395691	30.395691	9.000000	600.000000	5.000000	6.000000	8.000000	10.000000
13	34.844494	40.578365	14.029540	55.751190	24.649508	34.844494	34.832012	34.143707	36.019840	30.850174	30.850174	9.000000	600.000000	5.000000	6.000000	8.000000	10.000000
14	37.191483	42.380535	15.528151	59.506371	25.704943	37.191483	36.384575	35.644485	37.597713	32.151695	32.151695	10.000000	600.000000	5.000000	6.000000	8.000000	10.000000
15	39.665226	44.184898	17.151443	63.464359	26.776060	39.665226	37.944424	37.169346	39.193775	33.463394	33.463394	11.000000	600.000000	5.000000	6.000000	8.000000	10.000000
16	42.265724	45.975899	18.905083	67.625153	27.852264	42.265724	39.497658	38.703197	40.792809	34.772999	34.772999	11.000000	600.000000	5.000000	6.000000	8.000000	10.000000
17	44.992973	47.737980	20.794727	71.988762	28.922983	44.992973	41.030399	40.230961	42.379612	36.068253	36.068253	12.000000	600.000000	5.000000	6.000000	8.000000	10.000000
18	47.846981	49.455605	22.826038	76.555176	29.977646	47.846981	42.528774	41.737587	43.938995	37.336906	37.336906	12.000000	600.000000	5.000000	6.000000	8.000000	10.000000
19	50.827744	51.113228	25.004677	81.324394	31.005697	50.827744	43.978924	43.208027	45.455784	38.566719	38.566719	13.000000	600.000000	5.000000	6.000000	8.000000	10.000000
20	53.935261	52.695328	27.336302	86.296417	31.996595	53.935261	45.366997	44.627262	46.914818	39.745468	39.745468	14.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
21	58.884621	54.484577	29.755562	90.327866	33.648586	58.884621	46.601269	46.858093	48.894913	41.293999	41.293999	14.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
22	64.162399	56.232155	32.326488	94.427681	35.332497	64.162399	47.770657	49.124363	50.876793	42.835114	42.835114	15.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
23	69.779999	57.929901	35.053528	98.588249	37.043430	69.779999	48.867374	51.418892	52.852699	44.362511	44.362511	15.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
24	75.748825	59.570057	37.941078	102.801980	38.776436	75.748825	49.884174	53.734501	54.815075	45.870083	45.870083	16.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
25	82.080299	61.145260	40.993473	107.061260	40.526527	82.080299	50.814350	56.064014	56.756557	47.351921	47.351921	17.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
26	88.785820	62.648544	44.214996	111.358490	42.288666	88.785820	51.651737	58.400276	58.669991	48.802311	48.802311	17.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
27	95.876801	64.073341	47.609882	115.686060	44.057785	95.876801	52.390717	60.736126	60.548412	50.215748	50.215748	18.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
28	103.364640	65.413490	51.182312	120.036360	45.828770	103.364640	53.026207	63.064426	62.385059	51.586914	51.586914	18.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
29	111.260760	66.663208	54.936398	124.401790	47.596455	111.260760	53.553669	65.378036	64.173370	52.910702	52.910702	19.000000	1300.000000	5.000000	6.000000	8.000000	10.000000
