Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	10000.000000	10000.000000	3.521127	2.234094	10.967918	10000.000000	9.624640	12.936610	8.410429	7.922361	7.922361
2	10000.000000	10000.000000	3.528152	2.331229	10.967918	10000.000000	9.624640	12.936610	8.410429	7.922361	7.922361
3	10000.000000	10000.000000	3.689025	2.428363	10.967918	10000.000000	10.105869	12.936610	8.830950	8.318478	8.318478
4	10000.000000	10000.000000	3.952724	2.622632	11.516319	10000.000000	10.105869	13.583431	8.830950	8.318478	8.318478
5	10000.000000	10000.000000	4.115137	2.719767	11.516319	10000.000000	10.587097	13.583431	8.830950	8.714597	8.714597
6	10000.000000	10000.000000	4.278333	2.816901	11.516319	10000.000000	10.587097	13.583431	9.251473	8.714597	8.714597
7	10000.000000	10000.000000	4.442324	3.011170	11.516319	10000.000000	10.587097	13.583431	9.251473	9.110712	9.110712
8	10000.000000	10000.000000	4.607121	3.108305	12.064706	10000.000000	11.068338	13.583431	9.251473	9.110712	9.110712
9	10000.000000	10000.000000	4.874794	3.205440	12.064706	10000.000000	11.068338	13.583431	9.671993	9.506833	9.506833
10	10000.000000	10000.000000	5.041232	3.399708	12.064706	10000.000000	11.549571	14.230277	9.671993	10.299065	10.299065
11	10000.000000	10000.000000	5.412629	3.788246	12.064706	10000.000000	11.549571	14.230277	10.092518	10.695188	10.695188
12	10000.000000	10000.000000	5.988999	4.176785	12.613108	10000.000000	12.030799	14.230277	10.092518	10.695188	10.695188
13	10000.000000	10000.000000	6.464166	4.662457	12.613108	10000.000000	12.030799	14.230277	10.092518	11.091307	11.091307
14	10000.000000	10000.000000	6.940203	5.050995	12.613108	10000.000000	12.512027	14.230277	10.428953	11.091307	11.091307
15	10000.000000	10000.000000	7.519181	5.633803	12.613108	10000.000000	12.993257	14.877100	10.598722	11.883541	11.883541
16	10000.000000	10000.000000	7.894928	6.022340	13.161497	10000.000000	13.474492	14.877100	10.770698	11.883541	11.883541
17	10000.000000	10000.000000	8.373646	6.410877	13.161497	10000.000000	13.474492	14.877100	10.944906	12.279657	12.279657
18	10000.000000	10000.000000	8.955334	6.896552	13.161497	10000.000000	13.955721	14.877100	11.121380	12.675781	12.675781
19	10000.000000	10000.000000	9.435894	7.382226	13.709899	10000.000000	13.955721	14.877100	11.300150	12.675781	12.675781
20	10000.000000	10000.000000	10.019458	7.867895	13.709899	10000.000000	14.918181	15.523925	11.481241	14.260249	14.260249
21	10000.000000	10000.000000	10.399843	8.353570	13.709899	10000.000000	14.918181	15.523925	11.664678	14.260249	14.260249
22	10000.000000	10000.000000	10.985329	8.742107	13.709899	10000.000000	15.399423	15.523925	11.850517	14.656374	14.656374
23	10000.000000	10000.000000	11.469718	9.227782	14.258298	10000.000000	15.399423	15.523925	12.038765	15.052488	15.052488
24	10000.000000	10000.000000	12.057156	9.616319	14.258298	10000.000000	15.880653	16.170763	12.229454	15.052488	15.052488
25	10000.000000	10000.000000	12.543542	10.199128	14.258298	10000.000000	16.361872	16.170763	12.422623	15.844722	15.844722
26	10000.000000	10000.000000	13.030946	10.684799	14.806699	10000.000000	16.843126	16.170763	12.618313	15.844722	15.844722
27	10000.000000	10000.000000	13.621436	11.073339	14.806699	10000.000000	16.843126	16.170763	12.816536	16.240831	16.240831
28	10000.000000	10000.000000	14.110920	11.559010	14.806699	10000.000000	17.324356	16.170763	13.017342	16.636971	16.636971
29	10000.000000	10000.000000	14.703504	12.044681	15.355086	10000.000000	17.324356	16.817604	13.220763	16.636971	16.636971
30	10000.000000	10000.000000	15.297163	12.627490	15.355086	10000.000000	18.286818	16.817604	13.426820	18.221441	18.221441
31	10000.000000	10000.000000	15.687776	13.016020	15.355086	10000.000000	18.286818	16.817604	13.635551	18.617537	18.617537
32	10000.000000	10000.000000	16.283621	13.501691	15.903485	10000.000000	18.768028	16.817604	13.847002	18.617537	18.617537
