Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
2	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
3	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
4	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
5	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
6	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
7	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
8	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
9	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
10	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
11	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
12	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
13	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
14	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
15	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
16	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
17	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
18	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
19	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
20	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
21	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
22	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
23	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
24	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
25	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
26	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
27	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
28	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
29	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
30	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
31	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
32	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
33	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
34	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
35	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
36	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
37	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
38	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
39	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
40	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
41	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
42	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
43	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
44	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
45	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
46	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
47	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
48	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
49	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
50	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
51	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
52	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
53	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
54	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
55	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
56	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
57	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
58	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
59	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
60	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
61	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
62	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
63	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
64	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
65	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
66	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
67	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
68	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
69	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
70	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
71	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
72	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
73	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
74	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
75	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
76	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
77	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
78	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
79	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
80	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
81	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
82	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
83	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
84	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
85	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
86	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
87	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
88	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
89	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
90	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
91	0.050000	0.050000	-0.015300	-0.003000	0.031800	0.050000	0.029200	0.034500	0.026200	0.074800	0.074800
