Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	10000.000000	12.015620	10000.000000	10000.000000	5.847176	10000.000000	7.502679	6.108736	6.666666	6.987454	6.987454
2	10000.000000	12.616402	10000.000000	10000.000000	6.112957	10000.000000	7.859950	6.353085	6.969697	7.305066	7.305066
3	10000.000000	12.616402	10000.000000	10000.000000	6.378737	10000.000000	8.217220	6.597435	7.272728	7.622677	7.622677
4	10000.000000	13.217182	10000.000000	10000.000000	6.644518	10000.000000	8.217220	7.086133	7.575757	7.940289	7.940289
5	10000.000000	13.217182	10000.000000	10000.000000	7.176080	10000.000000	8.574490	7.330482	7.878788	8.257900	8.257900
6	10000.000000	13.817964	10000.000000	10000.000000	7.441861	10000.000000	8.931762	7.574832	8.181818	8.575512	8.575512
7	10000.000000	14.418744	10000.000000	10000.000000	7.707641	10000.000000	9.289032	7.819181	8.484848	8.893124	8.893124
8	10000.000000	14.418744	10000.000000	10000.000000	7.973422	10000.000000	9.646302	8.063531	8.787879	8.893124	8.893124
9	10000.000000	15.019526	10000.000000	10000.000000	8.239202	10000.000000	10.003572	8.552230	9.090909	9.210735	9.210735
10	10000.000000	15.019526	10000.000000	10000.000000	8.770764	10000.000000	10.003572	8.796579	9.393939	10.163570	10.163570
11	10000.000000	15.620306	10000.000000	10000.000000	9.568107	10000.000000	10.718114	9.529628	10.303030	10.798793	10.798793
12	10000.000000	16.221087	10000.000000	10000.000000	10.631229	10000.000000	11.432654	10.751374	11.212121	11.751628	11.751628
13	10000.000000	16.821869	10000.000000	10000.000000	11.428572	10000.000000	12.504466	11.484423	12.121212	12.386851	12.386851
14	10000.000000	17.422649	10000.000000	10000.000000	12.757475	10000.000000	13.219007	13.683567	13.030303	13.339685	13.339685
15	10000.000000	18.624212	10000.000000	10000.000000	13.820598	10000.000000	14.290818	14.905314	13.939394	14.610132	14.610132
16	10000.000000	18.624212	10000.000000	10000.000000	14.617940	10000.000000	15.005359	15.638363	14.545455	15.245355	15.245355
17	10000.000000	19.224993	10000.000000	10000.000000	15.946844	10000.000000	15.719900	16.615761	15.757576	16.198189	16.198189
18	10000.000000	20.426554	10000.000000	10000.000000	16.744186	10000.000000	16.791712	17.593159	16.666666	16.833412	16.833412
19	10000.000000	20.426554	10000.000000	10000.000000	17.807308	10000.000000	17.506252	18.570557	17.575758	17.786247	17.786247
20	10000.000000	21.628117	10000.000000	10000.000000	19.136213	10000.000000	18.578064	19.792303	18.484848	19.374306	19.374306
21	10000.000000	22.228897	10000.000000	10000.000000	19.933556	10000.000000	19.292604	20.525351	19.393940	20.009529	20.009529
22	10000.000000	22.829679	10000.000000	10000.000000	21.262459	10000.000000	20.007145	21.747099	20.303030	20.962362	20.962362
23	10000.000000	23.430460	10000.000000	10000.000000	22.059801	10000.000000	21.078957	22.480146	21.212122	21.597586	21.597586
24	10000.000000	24.031240	10000.000000	10000.000000	23.388704	10000.000000	21.793497	23.701893	22.424242	22.868032	22.868032
25	10000.000000	25.232803	10000.000000	10000.000000	24.451828	10000.000000	22.865309	24.679291	23.333334	23.820868	23.820868
26	10000.000000	25.833584	10000.000000	10000.000000	25.514950	10000.000000	23.579849	25.656689	23.939394	24.456091	24.456091
27	10000.000000	25.833584	10000.000000	10000.000000	26.578074	10000.000000	24.294392	26.878437	25.151516	25.408924	25.408924
28	10000.000000	27.035145	10000.000000	10000.000000	27.641195	10000.000000	25.366201	29.566280	26.060606	26.044147	26.044147
29	10000.000000	27.635927	10000.000000	10000.000000	28.704319	10000.000000	26.080744	30.788027	27.272728	27.314594	27.314594
30	10000.000000	28.837488	10000.000000	10000.000000	30.033222	10000.000000	27.152554	32.009773	28.181818	28.902653	28.902653
31	10000.000000	29.438271	10000.000000	10000.000000	31.096346	10000.000000	28.224365	32.742821	28.787878	29.537876	29.537876
32	10000.000000	30.039051	10000.000000	10000.000000	32.159470	10000.000000	28.938908	33.964569	30.000000	30.808321	30.808321
33	10000.000000	30.639832	10000.000000	10000.000000	33.222591	10000.000000	30.010717	34.941967	30.909090	31.443544	31.443544
34	10000.000000	31.240612	10000.000000	10000.000000	34.551495	10000.000000	30.725260	35.919365	32.121212	32.396378	32.396378
35	10000.000000	32.442173	10000.000000	10000.000000	35.614616	10000.000000	31.797070	37.141113	33.030304	33.666824	33.666824
36	10000.000000	33.042957	10000.000000	10000.000000	36.677742	10000.000000	32.868881	38.118511	33.939392	34.302048	34.302048
37	10000.000000	33.643738	10000.000000	10000.000000	38.006645	10000.000000	33.583424	39.340256	35.151516	35.254883	35.254883
38	10000.000000	34.845299	10000.000000	10000.000000	39.069767	10000.000000	34.655235	40.317654	36.060608	36.207718	36.207718
39	10000.000000	35.446079	10000.000000	10000.000000	40.132889	10000.000000	35.369774	41.539402	37.272728	37.160553	37.160553
40	10000.000000	36.647640	10000.000000	10000.000000	41.461796	10000.000000	36.798855	42.516800	38.181820	39.066223	39.066223
41	10000.000000	37.248425	10000.000000	10000.000000	42.524918	10000.000000	37.513397	43.494198	39.090908	39.701447	39.701447
42	10000.000000	37.849205	10000.000000	10000.000000	43.853821	10000.000000	38.227940	46.426392	40.303032	40.971889	40.971889
43	10000.000000	39.050766	10000.000000	10000.000000	44.916943	10000.000000	39.299751	47.403786	41.212120	41.607113	41.607113
44	10000.000000	39.050766	10000.000000	10000.000000	46.245846	10000.000000	40.371563	48.625534	42.424244	42.877560	42.877560
45	10000.000000	40.252327	10000.000000	10000.000000	47.574749	10000.000000	41.443371	49.847282	43.636364	43.830395	43.830395
46	10000.000000	40.853107	10000.000000	10000.000000	48.637875	10000.000000	42.515182	50.824680	44.545456	44.783230	44.783230
47	10000.000000	42.054672	10000.000000	10000.000000	49.966778	10000.000000	43.229725	52.046425	45.454544	45.736065	45.736065
48	10000.000000	43.256233	10000.000000	10000.000000	51.029900	10000.000000	44.301537	53.268173	46.666668	46.688900	46.688900
49	10000.000000	43.857014	10000.000000	10000.000000	52.358803	10000.000000	45.373348	54.489922	47.878788	47.959347	47.959347
50	10000.000000	45.058575	10000.000000	10000.000000	53.687706	10000.000000	46.445160	55.711666	49.090908	49.547405	49.547405
51	10000.000000	45.659359	10000.000000	10000.000000	54.750832	10000.000000	47.516972	56.689064	50.000000	50.500237	50.500237
52	10000.000000	46.260139	10000.000000	10000.000000	56.079735	10000.000000	48.231510	57.910812	51.212120	51.770683	51.770683
53	10000.000000	47.461700	10000.000000	10000.000000	57.142857	10000.000000	49.660595	58.888210	52.424244	52.405907	52.405907
54	10000.000000	48.062481	10000.000000	10000.000000	58.471760	10000.000000	50.375134	60.354305	53.636364	53.676353	53.676353
55	10000.000000	49.264042	10000.000000	10000.000000	60.066444	10000.000000	51.804214	61.576054	54.848484	54.946800	54.946800
56	10000.000000	49.864822	10000.000000	10000.000000	61.129570	10000.000000	52.518757	64.752594	55.757576	55.899635	55.899635
57	10000.000000	50.465607	10000.000000	10000.000000	62.458473	10000.000000	53.590569	66.218689	56.969696	56.852470	56.852470
58	10000.000000	52.267948	10000.000000	10000.000000	63.521595	10000.000000	55.019650	67.196091	58.181820	57.805305	57.805305
59	10000.000000	52.868729	10000.000000	10000.000000	65.116280	10000.000000	55.734192	68.662186	59.393940	59.075752	59.075752
60	10000.000000	54.070290	10000.000000	10000.000000	66.445183	10000.000000	57.163273	69.883934	60.606060	60.981419	60.981419
