Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
2	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
3	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
4	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
5	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
6	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
7	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
8	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
9	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
10	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
11	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
12	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
13	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
14	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
15	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
16	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
17	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
18	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
19	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
20	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
21	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
22	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
23	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
24	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
25	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
26	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
27	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
28	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
29	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
30	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
31	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
32	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
33	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
34	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
35	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
36	0.000000	0.033400	0.000000	0.000000	0.012400	0.000000	0.022000	0.009100	0.017000	0.018500	0.018500
