Level	weapon skill	defense skill	dodge	parry	block	hit melee	hit ranged	hit spell	crit melee	crit ranged	crit spell	hit taken melee	hit taken ranged	hit taken spell	crit taken melee	crit taken ranged	crit taken spell	haste melee	haste ranged	haste spell	obsolete	obsolete	obsolete	expertise	mastery	pvppower	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
1	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.000000	0.057692	0.796153	0.796153	0.265384	0.307692	0.307692	0.307692	0.538462	0.538462	0.538462	0.000000	0.000000	0.000000	0.000000	0.357367	0.000000	0.384615	0.384615	0.384615	0.000000	0.000000	0.000000	0.307692	0.000000	0.538462	0.462361	0.000000	0.000000	0.000000	0.000000	0.000000
11	0.000000	0.086538	1.194231	1.194231	0.398077	0.461538	0.461538	0.461538	0.807692	0.807692	0.807692	0.000000	0.000000	0.000000	0.000000	0.536050	0.000000	0.576923	0.576923	0.576923	0.000000	0.000000	0.000000	0.461538	0.000000	0.807692	0.693542	0.000000	0.000000	0.000000	0.000000	0.000000
12	0.000000	0.115385	1.592308	1.592308	0.530769	0.615385	0.615385	0.615385	1.076923	1.076923	1.076923	0.000000	0.000000	0.000000	0.000000	0.714734	0.000000	0.769231	0.769231	0.769231	0.000000	0.000000	0.000000	0.615385	0.000000	1.076923	0.924723	0.000000	0.000000	0.000000	0.000000	0.000000
