Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.000000	40.000000	0.000000	0.000000	50.000000	0.000000	40.000000	50.000000	50.000000	50.000000	40.000000
2	0.000000	40.000000	0.000000	0.000000	65.000000	0.000000	40.000000	65.000000	65.000000	65.000000	40.000000
3	0.000000	40.000000	0.000000	0.000000	80.000000	0.000000	40.000000	80.000000	80.000000	80.000000	40.000000
4	0.000000	40.000000	0.000000	0.000000	95.000000	0.000000	40.000000	95.000000	95.000000	95.000000	40.000000
5	0.000000	40.000000	0.000000	0.000000	110.000000	0.000000	40.000000	110.000000	110.000000	110.000000	40.000000
6	0.000000	40.000000	0.000000	0.000000	125.000000	0.000000	40.000000	125.000000	125.000000	125.000000	40.000000
7	0.000000	40.000000	0.000000	0.000000	140.000000	0.000000	40.000000	140.000000	140.000000	140.000000	40.000000
8	0.000000	40.000000	0.000000	0.000000	155.000000	0.000000	40.000000	155.000000	155.000000	155.000000	40.000000
9	0.000000	40.000000	0.000000	0.000000	170.000000	0.000000	40.000000	170.000000	170.000000	170.000000	40.000000
10	0.000000	40.000000	0.000000	0.000000	200.000000	0.000000	40.000000	200.000000	200.000000	200.000000	40.000000
11	0.000000	46.000000	0.000000	0.000000	230.000000	0.000000	46.000000	230.000000	230.000000	230.000000	46.000000
12	0.000000	52.000000	0.000000	0.000000	260.000000	0.000000	52.000000	260.000000	260.000000	260.000000	52.000000
13	0.000000	58.000000	0.000000	0.000000	290.000000	0.000000	58.000000	290.000000	290.000000	290.000000	58.000000
14	0.000000	64.000000	0.000000	0.000000	320.000000	0.000000	64.000000	320.000000	320.000000	320.000000	64.000000
15	0.000000	70.000000	0.000000	0.000000	350.000000	0.000000	70.000000	350.000000	350.000000	350.000000	70.000000
16	0.000000	80.000000	0.000000	0.000000	400.000000	0.000000	80.000000	400.000000	400.000000	400.000000	80.000000
17	0.000000	90.000000	0.000000	0.000000	450.000000	0.000000	90.000000	450.000000	450.000000	450.000000	90.000000
18	0.000000	100.000000	0.000000	0.000000	500.000000	0.000000	100.000000	500.000000	500.000000	500.000000	100.000000
19	0.000000	110.000000	0.000000	0.000000	550.000000	0.000000	110.000000	550.000000	550.000000	550.000000	110.000000
20	0.000000	120.000000	0.000000	0.000000	600.000000	0.000000	120.000000	600.000000	600.000000	600.000000	120.000000
