Level	Mitigation
1	157
2	167
3	177
4	187
5	197
6	207
7	217
8	227
9	237
10	247
11	257
12	267
13	277
14	287
15	297
16	307
17	317
18	327
19	337
20	347
21	357
22	367
23	377
24	387
25	397
26	407
27	417
28	427
29	437
30	447
31	457
32	467
33	477
34	487
35	497
36	507
37	517
38	527
39	537
40	547
41	557
42	567
43	577
44	587
45	597
46	607
47	617
48	627
49	637
50	647
51	657
52	667
53	677
54	687
55	697
56	707
57	717
58	727
59	737
60	747
61	757
62	767
63	777
64	787
65	797
66	807
67	817
68	827
69	837
70	847
71	857
72	867
73	877
74	887
75	897
76	907
77	917
78	927
79	937
80	947
81	957
82	967
83	977
84	987
85	997
86	1007
87	1017
88	1027
89	1037
90	1047
91	1185
92	1342
93	1518
94	1718
95	1945
96	2201
97	2491
98	2819
99	3190
100	3610
101	5435
102	5613
103	5799
104	5994
105	6199
106	6415
107	6642
108	6880
109	7132
110	7390
111	7648
112	7906
113	8164
114	8164
115	8164
116	8164
117	8164
118	8164
119	8164
120	8164
121	8164
122	8164
123	8164
