Level	Cost-1
1	0.000000
2	3.000000
3	4.000000
4	4.000000
5	4.000000
6	6.000000
7	12.000000
8	23.000000
9	40.000000
10	65.000000
11	100.000000
12	146.000000
13	204.000000
14	276.000000
15	364.000000
16	469.000000
17	592.000000
18	735.000000
19	900.000000
20	1088.000000
21	1300.000000
22	1538.000000
23	1804.000000
24	2099.000000
25	2424.000000
26	2781.000000
27	3172.000000
28	3598.000000
29	4060.000000
30	4560.000000
31	5100.000000
32	5681.000000
33	6304.000000
34	6971.000000
35	7684.000000
36	8444.000000
37	9252.000000
38	10110.000000
39	11020.000000
40	11983.000000
41	13000.000000
42	14073.000000
43	15204.000000
44	16394.000000
45	17644.000000
46	18956.000000
47	20332.000000
48	21773.000000
49	23280.000000
50	24855.000000
51	26500.000000
52	28216.000000
53	30004.000000
54	31866.000000
55	33804.000000
56	35819.000000
57	37912.000000
58	40085.000000
59	42340.000000
60	44678.000000
61	47100.000000
62	49608.000000
63	52204.000000
64	54889.000000
65	57664.000000
66	60531.000000
67	63492.000000
68	66548.000000
69	69700.000000
70	72950.000000
71	76300.000000
72	79751.000000
73	83304.000000
74	86961.000000
75	90724.000000
76	94594.000000
77	98572.000000
78	102660.000000
79	106860.000000
80	111173.000000
81	115600.000000
82	120143.000000
83	124804.000000
84	129584.000000
85	134484.000000
86	139506.000000
87	144652.000000
88	149923.000000
89	155320.000000
90	160845.000000
91	166500.000000
92	172286.000000
93	178204.000000
94	184256.000000
95	190444.000000
96	196769.000000
97	203232.000000
98	209835.000000
99	216580.000000
100	223468.000000
