Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	0	31	0	155	31	155	31	155	0	0	155	0
2	0	34	0	170	34	170	34	170	0	0	170	0
3	0	36	0	180	36	180	36	180	0	0	180	0
4	0	42	0	210	42	210	42	210	0	0	210	0
5	0	71	0	355	71	355	71	355	0	0	355	0
6	0	101	0	505	101	505	101	505	0	0	505	0
7	0	104	0	520	104	520	104	520	0	0	520	0
8	0	137	0	685	137	685	137	685	0	0	685	0
9	0	140	0	700	140	700	140	700	0	0	700	0
10	0	173	0	865	173	865	173	865	0	0	865	0
11	0	176	0	880	176	880	176	880	0	0	880	0
12	0	212	0	1060	212	1060	212	1060	0	0	1060	0
13	0	220	0	1100	220	1100	220	1100	0	0	1100	0
14	0	252	0	1260	252	1260	252	1260	0	0	1260	0
15	0	256	0	1280	256	1280	256	1280	0	0	1280	0
16	0	292	0	1460	292	1460	292	1460	0	0	1460	0
17	0	298	0	1490	298	1490	298	1490	0	0	1490	0
18	0	334	0	1670	334	1670	334	1670	0	0	1670	0
19	0	362	0	1810	362	1810	362	1810	0	0	1810	0
20	0	400	0	2000	400	2000	400	2000	0	0	2000	0
21	0	420	0	2100	420	2100	420	2100	0	0	2100	0
22	0	460	0	2300	460	2300	460	2300	0	0	2300	0
23	0	480	0	2400	480	2400	480	2400	0	0	2400	0
24	0	520	0	2600	520	2600	520	2600	0	0	2600	0
25	0	580	0	2900	580	2900	580	2900	0	0	2900	0
26	0	620	0	3100	620	3100	620	3100	0	0	3100	0
27	0	620	0	3100	620	3100	620	3100	0	0	3100	0
28	0	660	0	3300	660	3300	660	3300	0	0	3300	0
29	0	740	0	3700	740	3700	740	3700	0	0	3700	0
30	0	780	0	3900	780	3900	780	3900	0	0	3900	0
31	0	780	0	3900	780	3900	780	3900	0	0	3900	0
32	0	840	0	4200	840	4200	840	4200	0	0	4200	0
33	0	880	0	4400	880	4400	880	4400	0	0	4400	0
34	0	940	0	4700	940	4700	940	4700	0	0	4700	0
35	0	980	0	4900	980	4900	980	4900	0	0	4900	0
36	0	1020	0	5100	1020	5100	1020	5100	0	0	5100	0
37	0	1040	0	5200	1040	5200	1040	5200	0	0	5200	0
38	0	1080	0	5400	1080	5400	1080	5400	0	0	5400	0
39	0	1180	0	5900	1180	5900	1180	5900	0	0	5900	0
40	0	1240	0	6200	1240	6200	1240	6200	0	0	6200	0
41	0	1240	0	6200	1240	6200	1240	6200	0	0	6200	0
42	0	1300	0	6500	1300	6500	1300	6500	0	0	6500	0
43	0	1360	0	6800	1360	6800	1360	6800	0	0	6800	0
44	0	1420	0	7100	1420	7100	1420	7100	0	0	7100	0
45	0	1480	0	7400	1480	7400	1480	7400	0	0	7400	0
46	0	1540	0	7700	1540	7700	1540	7700	0	0	7700	0
47	0	1600	0	8000	1600	8000	1600	8000	0	0	8000	0
48	0	1660	0	8300	1660	8300	1660	8300	0	0	8300	0
49	0	1720	0	8600	1720	8600	1720	8600	0	0	8600	0
50	0	1780	0	8900	1780	8900	1780	8900	0	0	8900	0
51	0	1840	0	9200	1840	9200	1840	9200	0	0	9200	0
52	0	1920	0	9600	1920	9600	1920	9600	0	0	9600	0
53	0	1940	0	9700	1940	9700	1940	9700	0	0	9700	0
54	0	2040	0	10200	2040	10200	2040	10200	0	0	10200	0
55	0	2060	0	10300	2060	10300	2060	10300	0	0	10300	0
56	0	2140	0	10700	2140	10700	2140	10700	0	0	10700	0
57	0	2200	0	11000	2200	11000	2200	11000	0	0	11000	0
58	0	2280	0	11400	2280	11400	2280	11400	0	0	11400	0
59	0	2360	0	11800	2360	11800	2360	11800	0	0	11800	0
60	0	2420	0	12100	2420	12100	2420	12100	0	0	12100	0
61	0	2600	0	13000	2600	13000	2600	13000	0	0	13000	0
62	0	2760	0	13800	2760	13800	2760	13800	0	0	13800	0
63	0	2920	0	14600	2920	14600	2920	14600	0	0	14600	0
64	0	2940	0	14700	2940	14700	2940	14700	0	0	14700	0
65	0	3020	0	15100	3020	15100	3020	15100	0	0	15100	0
66	0	3020	0	15100	3020	15100	3020	15100	0	0	15100	0
67	0	3080	0	15400	3080	15400	3080	15400	0	0	15400	0
68	0	3100	0	15500	3100	15500	3100	15500	0	0	15500	0
69	0	3260	0	16300	3260	16300	3260	16300	0	0	16300	0
70	0	3380	0	16900	3380	16900	3380	16900	0	0	16900	0
71	0	3520	0	17600	3520	17600	3520	17600	0	0	17600	0
72	0	3700	0	18500	3700	18500	3700	18500	0	0	18500	0
73	0	3860	0	19300	3860	19300	3860	19300	0	0	19300	0
74	0	3880	0	19400	3880	19400	3880	19400	0	0	19400	0
