ChallengeLevel	Scalar
1	1
2	1.1
3	1.21
4	1.331
5	1.4641
6	1.61051
7	1.771561
8	1.9487171
9	2.14358881
10	2.357947691
11	2.59374246
12	2.853116706
13	3.138428377
14	3.452271214
15	3.797498336
16	4.177248169
17	4.594972986
18	5.054470285
19	5.559917313
20	6.115909045
21	6.727499949
22	7.400249944
23	8.140274939
24	8.954302433
25	9.849732676
26	10.83470594
27	11.91817654
28	13.10999419
29	14.42099361
30	15.86309297
31	17.44940227
32	19.1943425
33	21.11377675
34	23.22515442
35	25.54766986
36	28.10243685
37	30.91268053
38	34.00394859
39	37.40434344
40	41.14477779
41	45.25925557
42	49.78518112
43	54.76369924
44	60.24006916
45	66.26407608
46	72.89048369
47	80.17953205
48	88.19748526
49	97.01723378
50	106.7189572
