Level	Health
1	14
2	14
3	15
4	16
5	17
6	18
7	18
8	18
9	18
10	18
11	18
12	18
13	18
14	18
15	18
16	18
17	18
18	18
19	19
20	19
21	20
22	20
23	20
24	20
25	22
26	22
27	22
28	22
29	24
30	24
31	24
32	24
33	25
34	25
35	26
36	26
37	26
38	26
39	28
40	28
41	28
42	28
43	29
44	29
45	30
46	30
47	31
48	31
49	32
50	32
51	33
52	33
53	33
54	34
55	34
56	34
57	35
58	35
59	36
60	36
61	36
62	36
63	36
64	36
65	36
66	36
67	36
68	36
69	37
70	37
71	37
72	37
73	37
74	37
75	38
76	39
77	40
78	42
79	42
80	43
81	43
82	43
83	44
84	46
85	47
86	48
87	48
88	48
89	49
90	49
91	49
92	53
93	55
94	58
95	60
96	60
97	60
98	60
99	60
100	60
101	60
102	60
103	60
104	60
105	60
106	60
107	60
108	60
109	60
110	60
111	60
112	60
113	60
114	60
115	60
116	60
117	60
118	60
119	60
120	60
121	60
122	60
123	60
