Level	Scalar
1	0.193000
2	0.216000
3	0.264000
4	0.310000
5	0.310000
6	0.395000
7	0.436000
8	0.475000
9	0.514000
10	0.552000
11	0.588000
12	0.625000
13	0.661000
14	0.696000
15	0.766000
16	0.800000
17	0.835000
18	0.885000
19	0.919000
20	1.000000
21	1.034000
22	1.067000
23	1.101000
24	1.165000
25	1.229000
26	1.278000
27	1.328000
28	1.405000
29	1.522000
30	1.612000
31	1.662000
32	1.752000
33	1.805000
34	1.858000
35	1.964000
36	2.032000
37	2.126000
38	2.196000
39	2.292000
40	2.351000
41	2.446000
42	2.506000
43	2.626000
44	2.686000
45	2.782000
46	2.854000
47	2.950000
48	3.012000
49	3.074000
50	3.195000
51	3.269000
52	3.378000
53	3.475000
54	3.583000
55	3.658000
56	3.788000
57	3.863000
58	3.972000
59	4.048000
60	4.167000
61	4.266000
62	4.400000
63	4.514000
64	4.662000
65	4.768000
66	4.908000
67	5.016000
68	5.169000
69	5.292000
70	5.437000
71	5.593000
72	5.709000
73	5.858000
74	5.998000
75	6.150000
76	6.282000
77	6.415000
78	6.594000
79	6.762000
80	6.899000
81	7.082000
82	7.222000
83	7.376000
84	7.552000
85	7.697000
86	7.876000
87	8.024000
88	8.196000
89	8.347000
90	8.533000
91	8.741000
92	8.898000
93	9.055000
94	9.215000
95	9.408000
96	9.572000
97	9.736000
98	9.902000
99	10.091000
100	10.293000
