Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.486777	0.486777	0.000000	0.486777	0.000000	0.000000	0.000000	0.450269	0.000000	0.000000	0.000000
2	1.036520	1.036520	0.000000	1.036520	0.000000	0.000000	0.000000	0.958777	0.000000	0.000000	0.000000
3	1.620190	1.620190	0.000000	1.620190	0.000000	0.000000	0.000000	1.498670	0.000000	0.000000	0.000000
4	2.358690	2.358690	0.000000	2.358690	0.000000	0.000000	0.000000	2.181790	0.000000	0.000000	0.000000
5	3.180380	3.180380	0.000000	3.180380	0.000000	0.000000	0.000000	2.941850	0.000000	0.000000	0.000000
6	4.244800	4.244800	0.000000	4.244800	0.000000	0.000000	0.000000	3.926440	0.000000	0.000000	0.000000
7	5.403300	5.403300	0.000000	5.403300	0.000000	0.000000	0.000000	4.998050	0.000000	0.000000	0.000000
8	5.891520	5.891520	0.000000	5.891520	0.000000	0.000000	0.000000	5.449650	0.000000	0.000000	0.000000
9	6.350420	6.350420	0.000000	6.350420	0.000000	0.000000	0.000000	5.874140	0.000000	0.000000	0.000000
10	6.524460	6.524460	0.000000	6.524460	0.000000	0.000000	0.000000	6.035130	0.000000	0.000000	0.000000
11	6.974240	6.974240	0.000000	6.974240	0.000000	0.000000	0.000000	6.451170	0.000000	0.000000	0.000000
12	7.643010	7.643010	0.000000	7.643010	0.000000	0.000000	0.000000	7.069790	0.000000	0.000000	0.000000
13	7.847990	7.847990	0.000000	7.847990	0.000000	0.000000	0.000000	7.259390	0.000000	0.000000	0.000000
14	8.236860	8.236860	0.000000	8.236860	0.000000	0.000000	0.000000	7.619100	0.000000	0.000000	0.000000
15	8.997660	8.997660	0.000000	8.997660	0.000000	0.000000	0.000000	8.322840	0.000000	0.000000	0.000000
16	9.587110	9.587110	0.000000	9.587110	0.000000	0.000000	0.000000	8.868080	0.000000	0.000000	0.000000
17	10.278100	10.278100	0.000000	10.278100	0.000000	0.000000	0.000000	9.507280	0.000000	0.000000	0.000000
18	10.681500	10.681500	0.000000	10.681500	0.000000	0.000000	0.000000	9.880420	0.000000	0.000000	0.000000
19	11.325100	11.325100	0.000000	11.325100	0.000000	0.000000	0.000000	10.475700	0.000000	0.000000	0.000000
20	12.102900	12.102900	0.000000	12.102900	0.000000	0.000000	0.000000	11.195100	0.000000	0.000000	0.000000
21	12.459700	12.459700	0.000000	12.459700	0.000000	0.000000	0.000000	11.525200	0.000000	0.000000	0.000000
22	13.027200	13.027200	0.000000	13.027200	0.000000	0.000000	0.000000	12.050200	0.000000	0.000000	0.000000
23	13.512400	13.512400	0.000000	13.512400	0.000000	0.000000	0.000000	12.498900	0.000000	0.000000	0.000000
24	14.052400	14.052400	0.000000	14.052400	0.000000	0.000000	0.000000	12.998500	0.000000	0.000000	0.000000
25	14.685600	14.685600	0.000000	14.685600	0.000000	0.000000	0.000000	13.584200	0.000000	0.000000	0.000000
26	15.056600	15.056600	0.000000	15.056600	0.000000	0.000000	0.000000	13.927300	0.000000	0.000000	0.000000
27	15.776600	15.776600	0.000000	15.776600	0.000000	0.000000	0.000000	14.593300	0.000000	0.000000	0.000000
28	16.139000	16.139000	0.000000	16.139000	0.000000	0.000000	0.000000	14.928600	0.000000	0.000000	0.000000
29	16.679000	16.679000	0.000000	16.679000	0.000000	0.000000	0.000000	15.428100	0.000000	0.000000	0.000000
30	17.408000	17.408000	0.000000	17.408000	0.000000	0.000000	0.000000	16.102400	0.000000	0.000000	0.000000
31	18.631400	18.631400	0.000000	18.631400	0.000000	0.000000	0.000000	17.234100	0.000000	0.000000	0.000000
32	19.288500	19.288500	0.000000	19.288500	0.000000	0.000000	0.000000	17.841900	0.000000	0.000000	0.000000
33	19.676200	19.676200	0.000000	19.676200	0.000000	0.000000	0.000000	18.200500	0.000000	0.000000	0.000000
34	20.336400	20.336400	0.000000	20.336400	0.000000	0.000000	0.000000	18.811200	0.000000	0.000000	0.000000
35	20.818400	20.818400	0.000000	20.818400	0.000000	0.000000	0.000000	19.257000	0.000000	0.000000	0.000000
36	22.410200	22.410200	0.000000	22.410200	0.000000	0.000000	0.000000	20.729500	0.000000	0.000000	0.000000
37	23.094700	23.094700	0.000000	23.094700	0.000000	0.000000	0.000000	21.362600	0.000000	0.000000	0.000000
38	23.631500	23.631500	0.000000	23.631500	0.000000	0.000000	0.000000	21.859100	0.000000	0.000000	0.000000
39	24.376800	24.376800	0.000000	24.376800	0.000000	0.000000	0.000000	22.548600	0.000000	0.000000	0.000000
40	25.158400	25.158400	0.000000	25.158400	0.000000	0.000000	0.000000	23.271500	0.000000	0.000000	0.000000
41	27.599600	27.599600	0.000000	27.599600	0.000000	0.000000	0.000000	25.529700	0.000000	0.000000	0.000000
42	29.243100	29.243100	0.000000	29.243100	0.000000	0.000000	0.000000	27.049900	0.000000	0.000000	0.000000
43	31.206400	31.206400	0.000000	31.206400	0.000000	0.000000	0.000000	28.866000	0.000000	0.000000	0.000000
44	33.907900	33.907900	0.000000	33.907900	0.000000	0.000000	0.000000	31.364800	0.000000	0.000000	0.000000
45	35.477100	35.477100	0.000000	35.477100	0.000000	0.000000	0.000000	32.816300	0.000000	0.000000	0.000000
46	37.760200	37.760200	0.000000	37.760200	0.000000	0.000000	0.000000	34.928200	0.000000	0.000000	0.000000
47	38.768500	38.768500	0.000000	38.768500	0.000000	0.000000	0.000000	35.860800	0.000000	0.000000	0.000000
48	39.515000	39.515000	0.000000	39.515000	0.000000	0.000000	0.000000	36.551400	0.000000	0.000000	0.000000
