Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	0.51135	0	0	0.47299875	0.51135	0	0	0	0.51135	0	0	0
2	1.08885	0	0	1.00718625	1.08885	0	0	0	1.08885	0	0	0
3	1.701	0	0	1.573425	1.701	0	0	0	1.701	0	0	0
4	2.47695	0	0	2.29117875	2.47695	0	0	0	2.47695	0	0	0
5	3.339	0	0	3.088575	3.339	0	0	0	3.339	0	0	0
6	4.254545455	0	0	3.935454545	4.254545455	0	0	0	4.254545455	0	0	0
7	4.581818182	0	0	4.238181818	4.581818182	0	0	0	4.581818182	0	0	0
8	4.909090909	0	0	4.540909091	4.909090909	0	0	0	4.909090909	0	0	0
9	5.236363636	0	0	4.843636364	5.236363636	0	0	0	5.236363636	0	0	0
10	5.563636364	0	0	5.146363636	5.563636364	0	0	0	5.563636364	0	0	0
11	7.854545455	0	0	7.265454545	7.854545455	0	0	0	7.854545455	0	0	0
12	9.818181818	0	0	9.081818182	9.818181818	0	0	0	9.818181818	0	0	0
13	12.10909091	0	0	11.20090909	12.10909091	0	0	0	12.10909091	0	0	0
14	14.07272727	0	0	13.01727273	14.07272727	0	0	0	14.07272727	0	0	0
15	16.36363636	0	0	15.13636364	16.36363636	0	0	0	16.36363636	0	0	0
16	18.32727273	0	0	16.95272727	18.32727273	0	0	0	18.32727273	0	0	0
17	20.61818182	0	0	19.07181818	20.61818182	0	0	0	20.61818182	0	0	0
18	22.58181818	0	0	20.88818182	22.58181818	0	0	0	22.58181818	0	0	0
19	27.29090909	0	0	25.24409091	27.29090909	0	0	0	27.29090909	0	0	0
20	27.98181818	0	0	25.88318182	27.98181818	0	0	0	27.98181818	0	0	0
21	33.09090909	0	0	30.60909091	33.09090909	0	0	0	33.09090909	0	0	0
22	34.18181818	0	0	31.61818182	34.18181818	0	0	0	34.18181818	0	0	0
23	38.18181818	0	0	35.31818182	38.18181818	0	0	0	38.18181818	0	0	0
24	38.90909091	0	0	35.99090909	38.90909091	0	0	0	38.90909091	0	0	0
25	46.8	0	0	43.29	46.8	0	0	0	46.8	0	0	0
26	47.6	0	0	44.03	47.6	0	0	0	47.6	0	0	0
27	51.6	0	0	47.73	51.6	0	0	0	51.6	0	0	0
28	52.8	0	0	48.84	52.8	0	0	0	52.8	0	0	0
29	60.21818182	0	0	55.70181818	60.21818182	0	0	0	60.21818182	0	0	0
30	60.65454545	0	0	56.10545455	60.65454545	0	0	0	60.65454545	0	0	0
31	65.45454545	0	0	60.54545455	65.45454545	0	0	0	65.45454545	0	0	0
32	66.32727273	0	0	61.35272727	66.32727273	0	0	0	66.32727273	0	0	0
33	73.18181818	0	0	67.69318182	73.18181818	0	0	0	73.18181818	0	0	0
34	75	0	0	69.375	75	0	0	0	75	0	0	0
35	82.25454545	0	0	76.08545455	82.25454545	0	0	0	82.25454545	0	0	0
36	83.2	0	0	76.96	83.2	0	0	0	83.2	0	0	0
37	86.03636364	0	0	79.58363636	86.03636364	0	0	0	86.03636364	0	0	0
38	86.98181818	0	0	80.45818182	86.98181818	0	0	0	86.98181818	0	0	0
39	98.76363636	0	0	91.35636364	98.76363636	0	0	0	98.76363636	0	0	0
40	100.2909091	0	0	92.76909091	100.2909091	0	0	0	100.2909091	0	0	0
41	105.8909091	0	0	97.94909091	105.8909091	0	0	0	105.8909091	0	0	0
42	106.4	0	0	98.42	106.4	0	0	0	106.4	0	0	0
43	115.4727273	0	0	106.8122727	115.4727273	0	0	0	115.4727273	0	0	0
44	116.5272727	0	0	107.7877273	116.5272727	0	0	0	116.5272727	0	0	0
45	126.5454545	0	0	117.0545455	126.5454545	0	0	0	126.5454545	0	0	0
46	128.1818182	0	0	118.5681818	128.1818182	0	0	0	128.1818182	0	0	0
47	138.0909091	0	0	127.7340909	138.0909091	0	0	0	138.0909091	0	0	0
48	138.6545455	0	0	128.2554545	138.6545455	0	0	0	138.6545455	0	0	0
49	148.9454545	0	0	137.7745455	148.9454545	0	0	0	148.9454545	0	0	0
50	150.1090909	0	0	138.8509091	150.1090909	0	0	0	150.1090909	0	0	0
51	155.4	0	0	143.745	155.4	0	0	0	155.4	0	0	0
52	157.2	0	0	145.41	157.2	0	0	0	157.2	0	0	0
53	163.8	0	0	151.515	163.8	0	0	0	163.8	0	0	0
54	169.3818182	0	0	156.6781818	169.3818182	0	0	0	169.3818182	0	0	0
55	178.6545455	0	0	165.2554545	178.6545455	0	0	0	178.6545455	0	0	0
56	180.5090909	0	0	166.9709091	180.5090909	0	0	0	180.5090909	0	0	0
57	191.5454545	0	0	177.1795455	191.5454545	0	0	0	191.5454545	0	0	0
58	192.8181818	0	0	178.3568182	192.8181818	0	0	0	192.8181818	0	0	0
59	208.1454545	0	0	192.5345455	208.1454545	0	0	0	208.1454545	0	0	0
60	220.5818182	0	0	204.0381818	220.5818182	0	0	0	220.5818182	0	0	0
61	225.8181818	0	0	208.8818182	225.8181818	0	0	0	225.8181818	0	0	0
62	231.0545455	0	0	213.7254545	231.0545455	0	0	0	231.0545455	0	0	0
63	235.6363636	0	0	217.9636364	235.6363636	0	0	0	235.6363636	0	0	0
64	242.1818182	0	0	224.0181818	242.1818182	0	0	0	242.1818182	0	0	0
65	252.6545455	0	0	233.7054545	252.6545455	0	0	0	252.6545455	0	0	0
66	261.8181818	0	0	242.1818182	261.8181818	0	0	0	261.8181818	0	0	0
67	274.2545455	0	0	253.6854545	274.2545455	0	0	0	274.2545455	0	0	0
68	275.5636364	0	0	254.8963636	275.5636364	0	0	0	275.5636364	0	0	0
69	283.8909091	0	0	262.5990909	283.8909091	0	0	0	283.8909091	0	0	0
70	306.0909091	0	0	283.1340909	306.0909091	0	0	0	306.0909091	0	0	0
71	317.5272727	0	0	293.7127273	317.5272727	0	0	0	317.5272727	0	0	0
72	322.9090909	0	0	298.6909091	322.9090909	0	0	0	322.9090909	0	0	0
