Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	42.000000	41.000000	1.000000	42.000000	1.000000	0.000000	1.000000	40.000000	1.000000	0.000000	1.000000
2	55.000000	54.000000	1.000000	55.000000	1.000000	0.000000	1.000000	52.000000	1.000000	0.000000	1.000000
3	71.000000	69.000000	1.000000	71.000000	1.000000	0.000000	1.000000	67.000000	1.000000	0.000000	1.000000
4	86.000000	83.000000	1.000000	86.000000	1.000000	0.000000	1.000000	81.000000	1.000000	0.000000	1.000000
5	102.000000	98.000000	1.000000	102.000000	1.000000	0.000000	1.000000	95.000000	1.000000	0.000000	1.000000
6	120.000000	115.000000	1.000000	120.000000	1.000000	0.000000	1.000000	111.000000	1.000000	0.000000	1.000000
7	137.000000	131.000000	1.000000	137.000000	1.000000	0.000000	1.000000	126.000000	1.000000	0.000000	1.000000
8	156.000000	148.000000	1.000000	156.000000	1.000000	0.000000	1.000000	143.000000	1.000000	0.000000	1.000000
9	176.000000	166.000000	1.000000	176.000000	1.000000	0.000000	1.000000	160.000000	1.000000	0.000000	1.000000
10	198.000000	186.000000	1.000000	198.000000	1.000000	0.000000	1.000000	178.000000	1.000000	0.000000	1.000000
11	222.000000	208.000000	1.000000	222.000000	1.000000	0.000000	1.000000	199.000000	1.000000	0.000000	1.000000
12	247.000000	230.000000	1.000000	247.000000	1.000000	0.000000	1.000000	219.000000	1.000000	0.000000	1.000000
13	273.000000	253.000000	1.000000	273.000000	1.000000	0.000000	1.000000	241.000000	1.000000	0.000000	1.000000
14	300.000000	276.000000	1.000000	300.000000	1.000000	0.000000	1.000000	263.000000	1.000000	0.000000	1.000000
15	328.000000	301.000000	1.000000	328.000000	1.000000	0.000000	1.000000	285.000000	1.000000	0.000000	1.000000
16	356.000000	325.000000	1.000000	356.000000	1.000000	0.000000	1.000000	307.000000	1.000000	0.000000	1.000000
17	386.000000	350.000000	1.000000	386.000000	1.000000	0.000000	1.000000	330.000000	1.000000	0.000000	1.000000
18	417.000000	377.000000	1.000000	417.000000	1.000000	0.000000	1.000000	354.000000	1.000000	0.000000	1.000000
19	449.000000	404.000000	1.000000	449.000000	1.000000	0.000000	1.000000	379.000000	1.000000	0.000000	1.000000
20	484.000000	433.000000	1.000000	484.000000	1.000000	0.000000	1.000000	405.000000	1.000000	0.000000	1.000000
21	521.000000	464.000000	1.000000	521.000000	1.000000	0.000000	1.000000	432.000000	1.000000	0.000000	1.000000
22	562.000000	498.000000	1.000000	562.000000	1.000000	0.000000	1.000000	463.000000	1.000000	0.000000	1.000000
23	605.000000	533.000000	1.000000	605.000000	1.000000	0.000000	1.000000	494.000000	1.000000	0.000000	1.000000
24	651.000000	571.000000	1.000000	651.000000	1.000000	0.000000	1.000000	528.000000	1.000000	0.000000	1.000000
25	699.000000	610.000000	1.000000	699.000000	1.000000	0.000000	1.000000	562.000000	1.000000	0.000000	1.000000
26	750.000000	651.000000	1.000000	750.000000	1.000000	0.000000	1.000000	598.000000	1.000000	0.000000	1.000000
27	800.000000	690.000000	1.000000	800.000000	1.000000	0.000000	1.000000	633.000000	1.000000	0.000000	1.000000
28	853.000000	732.000000	1.000000	853.000000	1.000000	0.000000	1.000000	669.000000	1.000000	0.000000	1.000000
29	905.000000	773.000000	1.000000	905.000000	1.000000	0.000000	1.000000	704.000000	1.000000	0.000000	1.000000
30	955.000000	811.000000	1.000000	955.000000	1.000000	0.000000	1.000000	737.000000	1.000000	0.000000	1.000000
31	1006.000000	850.000000	1.000000	1006.000000	1.000000	0.000000	1.000000	770.000000	1.000000	0.000000	1.000000
32	1057.000000	888.000000	1.000000	1057.000000	1.000000	0.000000	1.000000	802.000000	1.000000	0.000000	1.000000
33	1110.000000	928.000000	1.000000	1110.000000	1.000000	0.000000	1.000000	835.000000	1.000000	0.000000	1.000000
34	1163.000000	967.000000	1.000000	1163.000000	1.000000	0.000000	1.000000	867.000000	1.000000	0.000000	1.000000
35	1220.000000	1009.000000	1.000000	1220.000000	1.000000	0.000000	1.000000	902.000000	1.000000	0.000000	1.000000
36	1277.000000	1050.000000	1.000000	1277.000000	1.000000	0.000000	1.000000	935.000000	1.000000	0.000000	1.000000
37	1336.000000	1093.000000	1.000000	1336.000000	1.000000	0.000000	1.000000	970.000000	1.000000	0.000000	1.000000
38	1395.000000	1135.000000	1.000000	1395.000000	1.000000	0.000000	1.000000	1004.000000	1.000000	0.000000	1.000000
39	1459.000000	1180.000000	1.000000	1459.000000	1.000000	0.000000	1.000000	1040.000000	1.000000	0.000000	1.000000
40	1524.000000	1226.000000	1.000000	1524.000000	1.000000	0.000000	1.000000	1077.000000	1.000000	0.000000	1.000000
41	1585.000000	1268.000000	1.000000	1585.000000	1.000000	0.000000	1.000000	1110.000000	1.000000	0.000000	1.000000
42	1651.000000	1321.000000	1.000000	1651.000000	1.000000	0.000000	1.000000	1156.000000	1.000000	0.000000	1.000000
43	1716.000000	1373.000000	1.000000	1716.000000	1.000000	0.000000	1.000000	1201.000000	1.000000	0.000000	1.000000
44	1782.000000	1426.000000	1.000000	1782.000000	1.000000	0.000000	1.000000	1247.000000	1.000000	0.000000	1.000000
45	1848.000000	1478.000000	1.000000	1848.000000	1.000000	0.000000	1.000000	1294.000000	1.000000	0.000000	1.000000
46	1919.000000	1535.000000	1.000000	1919.000000	1.000000	0.000000	1.000000	1343.000000	1.000000	0.000000	1.000000
47	1990.000000	1592.000000	1.000000	1990.000000	1.000000	0.000000	1.000000	1393.000000	1.000000	0.000000	1.000000
48	2062.000000	1650.000000	1.000000	2062.000000	1.000000	0.000000	1.000000	1443.000000	1.000000	0.000000	1.000000
49	2138.000000	1710.000000	1.000000	2138.000000	1.000000	0.000000	1.000000	1497.000000	1.000000	0.000000	1.000000
50	2215.000000	1772.000000	1.000000	2215.000000	1.000000	0.000000	1.000000	1551.000000	1.000000	0.000000	1.000000
51	2292.000000	1834.000000	1.000000	2292.000000	1.000000	0.000000	1.000000	1604.000000	1.000000	0.000000	1.000000
52	2371.000000	1897.000000	1.000000	2371.000000	1.000000	0.000000	1.000000	1660.000000	1.000000	0.000000	1.000000
53	2453.000000	1962.000000	1.000000	2453.000000	1.000000	0.000000	1.000000	1717.000000	1.000000	0.000000	1.000000
54	2533.000000	2026.000000	1.000000	2533.000000	1.000000	0.000000	1.000000	1773.000000	1.000000	0.000000	1.000000
