Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	87.36	1	1	69.888	87.36	1	1	1	87.36	1	1	1
2	110.5	1	1	88.4	110.5	1	1	1	110.5	1	1	1
3	144.495	1	1	115.596	144.495	1	1	1	144.495	1	1	1
4	161.2687831	1	1	129.0150265	161.2687831	1	1	1	161.2687831	1	1	1
5	187.7113333	1	1	150.1690667	187.7113333	1	1	1	187.7113333	1	1	1
6	207.2686984	1	1	165.8149587	207.2686984	1	1	1	207.2686984	1	1	1
7	237.5371693	1	1	190.0297354	237.5371693	1	1	1	237.5371693	1	1	1
8	260.0453968	1	1	208.0363175	260.0453968	1	1	1	260.0453968	1	1	1
9	283.8364286	1	1	227.0691429	283.8364286	1	1	1	283.8364286	1	1	1
10	338.2635004	1	1	270.6108003	338.2635004	1	1	1	338.2635004	1	1	1
11	392.6217835	1	1	314.0974268	392.6217835	1	1	1	392.6217835	1	1	1
12	441.8880869	1	1	353.5104695	441.8880869	1	1	1	441.8880869	1	1	1
13	517.2006263	1	1	413.760501	517.2006263	1	1	1	517.2006263	1	1	1
14	564.3336299	1	1	451.4669039	564.3336299	1	1	1	564.3336299	1	1	1
15	678.8665457	1	1	543.0932366	678.8665457	1	1	1	678.8665457	1	1	1
16	737.5240153	1	1	590.0192122	737.5240153	1	1	1	737.5240153	1	1	1
17	890.7807392	1	1	712.6245913	890.7807392	1	1	1	890.7807392	1	1	1
18	963.8497776	1	1	771.0798221	963.8497776	1	1	1	963.8497776	1	1	1
19	1140.014663	1	1	912.0117307	1140.014663	1	1	1	1140.014663	1	1	1
20	1227.015287	1	1	981.6122298	1227.015287	1	1	1	1227.015287	1	1	1
21	1371.556419	1	1	1097.245135	1371.556419	1	1	1	1371.556419	1	1	1
22	1428.596659	1	1	1142.877327	1428.596659	1	1	1	1428.596659	1	1	1
23	1629.820212	1	1	1303.856169	1629.820212	1	1	1	1629.820212	1	1	1
24	1726.965829	1	1	1381.572663	1726.965829	1	1	1	1726.965829	1	1	1
25	1929.441064	1	1	1543.552851	1929.441064	1	1	1	1929.441064	1	1	1
26	2018.858874	1	1	1615.087099	2018.858874	1	1	1	2018.858874	1	1	1
27	2264.711598	1	1	1811.769278	2264.711598	1	1	1	2264.711598	1	1	1
28	2382.709508	1	1	1906.167606	2382.709508	1	1	1	2382.709508	1	1	1
29	2583.193917	1	1	2066.555133	2583.193917	1	1	1	2583.193917	1	1	1
30	2690.167534	1	1	2152.134028	2690.167534	1	1	1	2690.167534	1	1	1
31	2966.067561	1	1	2372.854049	2966.067561	1	1	1	2966.067561	1	1	1
32	3062.562861	1	1	2450.050289	3062.562861	1	1	1	3062.562861	1	1	1
33	3321.591877	1	1	2657.273502	3321.591877	1	1	1	3321.591877	1	1	1
34	3465.096795	1	1	2772.077436	3465.096795	1	1	1	3465.096795	1	1	1
35	3783.899466	1	1	3027.119573	3783.899466	1	1	1	3783.899466	1	1	1
36	3894.060206	1	1	3115.248165	3894.060206	1	1	1	3894.060206	1	1	1
37	4127.776357	1	1	3302.221085	4127.776357	1	1	1	4127.776357	1	1	1
38	4242.130071	1	1	3393.704057	4242.130071	1	1	1	4242.130071	1	1	1
39	4605.247375	1	1	3684.1979	4605.247375	1	1	1	4605.247375	1	1	1
40	4751.795197	1	1	3801.436157	4751.795197	1	1	1	4751.795197	1	1	1
41	5117.909514	1	1	4094.327611	5117.909514	1	1	1	5117.909514	1	1	1
42	5224.492214	1	1	4179.593771	5224.492214	1	1	1	5224.492214	1	1	1
43	5543.764003	1	1	4435.011202	5543.764003	1	1	1	5543.764003	1	1	1
44	5655.823287	1	1	4524.658629	5655.823287	1	1	1	5655.823287	1	1	1
45	5999.566482	1	1	4799.653185	5999.566482	1	1	1	5999.566482	1	1	1
46	6140.34332	1	1	4912.274656	6140.34332	1	1	1	6140.34332	1	1	1
47	6486.280745	1	1	5189.024596	6486.280745	1	1	1	6486.280745	1	1	1
48	6607.30217	1	1	5285.841736	6607.30217	1	1	1	6607.30217	1	1	1
49	7035.673421	1	1	5628.538737	7035.673421	1	1	1	7035.673421	1	1	1
50	7520.380152	1	1	6016.304121	7520.380152	1	1	1	7520.380152	1	1	1
51	7895.18227	1	1	6316.145816	7895.18227	1	1	1	7895.18227	1	1	1
52	8041.762023	1	1	6433.409618	8041.762023	1	1	1	8041.762023	1	1	1
53	8394.553234	1	1	6715.642587	8394.553234	1	1	1	8394.553234	1	1	1
54	8514.832969	1	1	6811.866375	8514.832969	1	1	1	8514.832969	1	1	1
55	8988.593778	1	1	7190.875022	8988.593778	1	1	1	8988.593778	1	1	1
56	9142.471314	1	1	7313.977051	9142.471314	1	1	1	9142.471314	1	1	1
57	9555.210465	1	1	7644.168372	9555.210465	1	1	1	9555.210465	1	1	1
58	9684.658381	1	1	7747.726705	9684.658381	1	1	1	9684.658381	1	1	1
59	11045.08664	1	1	8836.069315	11045.08664	1	1	1	11045.08664	1	1	1
60	11215.82425	1	1	8972.659402	11215.82425	1	1	1	11215.82425	1	1	1
61	11527.72395	1	1	9222.179161	11527.72395	1	1	1	11527.72395	1	1	1
62	11841.32842	1	1	9473.062734	11841.32842	1	1	1	11841.32842	1	1	1
63	12737.13941	1	1	10189.71152	12737.13941	1	1	1	12737.13941	1	1	1
64	13666.90154	1	1	10933.52123	13666.90154	1	1	1	13666.90154	1	1	1
65	14410.60702	1	1	11528.48562	14410.60702	1	1	1	14410.60702	1	1	1
66	14514.43038	1	1	11611.5443	14514.43038	1	1	1	14514.43038	1	1	1
67	14955.02181	1	1	11964.01744	14955.02181	1	1	1	14955.02181	1	1	1
68	15060.13771	1	1	12048.11017	15060.13771	1	1	1	15060.13771	1	1	1
69	15602.51862	1	1	12482.01489	15602.51862	1	1	1	15602.51862	1	1	1
70	15940.13148	1	1	12752.10518	15940.13148	1	1	1	15940.13148	1	1	1
71	16492.81203	1	1	13194.24963	16492.81203	1	1	1	16492.81203	1	1	1
72	17129.78521	1	1	13703.82817	17129.78521	1	1	1	17129.78521	1	1	1
73	18290.22918	1	1	14632.18335	18290.22918	1	1	1	18290.22918	1	1	1
74	19070.22309	1	1	15256.17847	19070.22309	1	1	1	19070.22309	1	1	1
75	20027.75891	1	1	16022.20713	20027.75891	1	1	1	20027.75891	1	1	1
76	20140.7883	1	1	16112.63064	20140.7883	1	1	1	20140.7883	1	1	1
77	20775.00611	1	1	16620.00489	20775.00611	1	1	1	20775.00611	1	1	1
78	20889.33301	1	1	16711.46641	20889.33301	1	1	1	20889.33301	1	1	1
79	21328.75101	1	1	17063.00081	21328.75101	1	1	1	21328.75101	1	1	1
80	21597.37899	1	1	17277.90319	21597.37899	1	1	1	21597.37899	1	1	1
81	21896.83817	1	1	17517.47053	21896.83817	1	1	1	21896.83817	1	1	1
82	23194.43508	1	1	18555.54806	23194.43508	1	1	1	23194.43508	1	1	1
83	25479.5755	1	1	20383.6604	25479.5755	1	1	1	25479.5755	1	1	1
84	25760.63849	1	1	20608.51079	25760.63849	1	1	1	25760.63849	1	1	1
85	26268.0299	1	1	21014.42392	26268.0299	1	1	1	26268.0299	1	1	1
86	27515.82553	1	1	22012.66043	27515.82553	1	1	1	27515.82553	1	1	1
87	28369.93198	1	1	22695.94558	28369.93198	1	1	1	28369.93198	1	1	1
88	29874.00472	1	1	23899.20378	29874.00472	1	1	1	29874.00472	1	1	1
89	32863.08472	1	1	26290.46778	32863.08472	1	1	1	32863.08472	1	1	1
90	50735.29988	1	1	40588.2399	50735.29988	1	1	1	50735.29988	1	1	1
91	58800.97878	1	1	47040.78302	58800.97878	1	1	1	58800.97878	1	1	1
92	64731.11086	1	1	51784.88869	64731.11086	1	1	1	64731.11086	1	1	1
93	68872.29029	1	1	55097.83223	68872.29029	1	1	1	68872.29029	1	1	1
94	77238.51873	1	1	61790.81498	77238.51873	1	1	1	77238.51873	1	1	1
95	84582.89393	1	1	67666.31515	84582.89393	1	1	1	84582.89393	1	1	1
96	104272.4595	1	1	83417.96758	104272.4595	1	1	1	104272.4595	1	1	1
