Level	Player-to-player Healing	NPC-to-player damage	Player-to-NPC damage
1	616	1	1
2	654.3157895	1	1
3	682.1052632	1	1
4	766.3157895	1	1
5	790.9473684	1	1
6	812.8421053	1	1
7	848.8421053	1	1
8	881.0526316	1	1
9	909.4736842	1	1
10	934.1052632	1	1
11	1021.908278	1	1
12	1152.296792	1	1
13	1340.273672	1	1
14	1465.668	1	1
15	1656.984884	1	1
16	1774.795775	1	1
17	2083.518985	1	1
18	2187.666644	1	1
19	2597.937	1	1
20	2678.9335	1	1
21	3045.383365	1	1
22	3159.772	1	1
23	3520.998023	1	1
24	3594.380636	1	1
25	4285.121267	1	1
26	4364.720462	1	1
27	4722.428006	1	1
28	4842.308172	1	1
29	5508.552258	1	1
30	5544.352246	1	1
31	5947.556462	1	1
32	5995.154215	1	1
33	6536.662917	1	1
34	6673.003269	1	1
35	7308.8102	1	1
36	7350.308	1	1
37	7536.672667	1	1
38	7574.452	1	1
39	8535.12459	1	1
40	8619.285949	1	1
41	9035.120769	1	1
42	9016.296513	1	1
43	9679.576649	1	1
44	9704.951723	1	1
45	10302.79227	1	1
46	10374.145	1	1
47	11063.577	1	1
48	11028.68464	1	1
49	11810.72386	1	1
50	11821.11065	1	1
51	12480.39904	1	1
52	12537.94046	1	1
53	12787.2082	1	1
54	13120.76747	1	1
55	13534.77518	1	1
56	13579.84062	1	1
57	14253.13194	1	1
58	14239.25515	1	1
59	15993.1044	1	1
60	15963.48812	1	1
61	16250.48723	1	1
62	16530.10172	1	1
63	17326.15962	1	1
64	18091.76492	1	1
65	18649.71111	1	1
66	18532.46492	1	1
67	18782.08514	1	1
68	18709.46474	1	1
69	19502.27256	1	1
70	19722.26474	1	1
71	20049.76279	1	1
72	20486.97893	1	1
73	21374.62378	1	1
74	21749.84263	1	1
75	22915.76802	1	1
76	23385.955	1	1
77	24247.77046	1	1
78	25308.52412	1	1
79	25371.77515	1	1
80	25866.84185	1	1
81	26016.36994	1	1
82	26922.82923	1	1
83	29173.54677	1	1
84	30225.92062	1	1
85	30916.51932	1	1
86	32456.84677	1	1
87	32911.64683	1	1
88	33914.90757	1	1
89	46478.42325	1	1
90	48538.51059	1	1
91	56646.85676	1	1
92	68051.23435	1	1
93	76586.84698	1	1
94	90117.32823	1	1
95	102457.1056	1	1
96	122249.9754	1	1
97	128297.4645	1	1
98	134686.476	1	1
99	247075.0523	1	1
100	342211.5908	1	1
101	491588.7879	1	1
102	548635.4937	1	1
103	612488.1101	1	1
104	681701.3393	1	1
105	748383.8792	1	1
106	820826.0319	1	1
107	898623.403	1	1
108	985817.4875	1	1
109	1082335.492	1	1
110	1164358.446	1	1
111	1164358.446	1	1
112	1164358.446	1	1
113	1164358.446	1	1
114	1164358.446	1	1
115	1164358.446	1	1
116	1164358.446	1	1
117	1164358.446	1	1
118	1164358.446	1	1
119	1164358.446	1	1
120	1164358.446	1	1
121	1164358.446	1	1
122	1164358.446	1	1
123	1164358.446	1	1
