Level	Total	PerKill	Junk	Stats	Divisor
1	400	50	0	0	1
2	900	55	0	0.01137676	1
3	1400	60	0	0.022901418	1
4	2100	65	0	0.034575896	1
5	2800	70	0	0.046402142	1
6	3800	75	0	0.05838213	1
7	5000	80	0	0.070517858	1
8	6400	85	0	0.08281135	1
9	8100	90	0	0.095264657	1
10	9240	95	0	0.107879858	1
11	10780	100	0	0.120659056	1
12	13225	105	0	0.133604383	1
13	16800	110	0	0.146718	1
14	20375	115	0	0.160002094	1
15	24440	120	0	0.173458881	1
16	28080	125	0	0.187090606	1
17	31500	130	0	0.200899544	1
18	34800	135	0	0.214887998	1
19	38550	140	0	0.229058302	1
20	42315	145	0	0.24341282	1
21	46560	150	0	0.257953946	1
22	49440	155	0	0.272684108	1
23	52000	160	0	0.287605761	1
24	55040	165	0	0.302721396	1
25	58400	170	0	0.318033534	1
26	61120	175	0	0.333544729	1
27	64160	180	0	0.349257571	1
28	66880	185	0	0.365174679	1
29	71680	190	0	0.38129871	1
30	76160	195	0	0.397632353	1
31	81440	200	0	0.414178333	1
32	85600	205	0	0.430939412	1
33	90240	210	0	0.447918384	1
34	94560	215	0	0.465118083	1
35	99200	220	0	0.482541378	1
36	104160	225	0	0.500191175	1
37	108480	230	0	0.518070421	1
38	113280	235	0	0.536182096	1
39	117920	240	0	0.554529223	1
40	133980	245	0	0.573114863	1
41	139300	250	0	0.591942116	1
42	144620	255	0	0.611014123	1
43	149800	260	0	0.630334067	1
44	155120	265	0	0.64990517	1
45	160580	270	0	0.669730697	1
46	165900	275	0	0.689813956	1
47	171360	280	0	0.710158297	1
48	176820	285	0	0.730767115	1
49	182280	290	0	0.751643847	1
50	188020	295	0	0.772791977	1
51	193620	300	0	0.794215033	1
52	199360	305	0	0.815916588	1
53	205100	310	0	0.837900263	1
54	210700	315	0	0.860169727	1
55	216580	320	0	0.882728693	1
56	222460	325	0	0.905580926	1
57	228480	330	0	0.928730238	1
58	234220	335	0	0.952180491	1
59	240380	340	0	0.975935597	1
60	254000	345	0	1	1
61	275000	350	0	1.024376273	1
62	301000	355	0	1.049069925	1
63	328000	360	0	1.074084594	1
64	359000	365	0	1.099424453	1
65	367000	370	0	1.125093731	1
66	374000	375	0	1.151096709	1
67	381000	380	0	1.177437726	1
68	388000	385	0	1.204121177	1
69	395000	390	0	1.231151512	1
70	405000	395	0	1.258533242	1
71	415000	400	0	1.286270934	1
72	422000	405	0	1.314369216	1
73	427000	410	0	1.342832775	1
74	432000	415	0	1.371666361	1
75	438000	420	0	1.400874784	1
76	445000	425	0	1.430462916	1
77	455000	430	0	1.460435694	1
78	462000	435	0	1.490798118	1
79	474000	440	0	1.521555253	1
80	482000	445	0	1.552712231	1
81	487000	450	0	1.58427425	1
82	492000	455	0	1.616246575	1
83	497000	460	0	1.64863454	1
84	506000	465	0	1.681443549	1
85	517000	470	0	1.714679075	1
86	545000	475	0	1.748346663	1
87	550000	480	0	1.78245193	1
88	556000	485	0	1.817000565	1
89	562000	490	0	1.851998332	1
90	596000	495	0	1.88745107	3
91	603000	500	0	1.923364694	3
92	608000	505	0	1.959745195	3
93	614000	510	0	1.996598642	3
94	621000	515	0	2.033931184	3
95	627000	520	0	2.07174905	3
96	632000	525	0	2.110058547	3
97	639000	530	0	2.148866068	3
98	645000	535	0	2.188178087	3
99	651000	540	0	2.228001162	3
100	657000	545	0	2.268341937	9
101	663000	550	0	2.268341937	27
102	669000	555	0	2.268341937	27
103	675000	560	0	2.268341937	27
104	681000	565	0	2.268341937	27
105	687000	570	0	2.268341937	27
106	693000	575	0	2.268341937	27
107	699000	580	0	2.268341937	27
108	705000	585	0	2.268341937	27
109	711000	590	0	2.268341937	27
110	717000	595	0	2.268341937	27
111	717000	600	0	2.268341937	27
112	717000	605	0	2.268341937	27
113	717000	610	0	2.268341937	27
114	717000	610	0	2.268341937	27
115	717000	610	0	2.268341937	27
116	717000	610	0	2.268341937	27
117	717000	610	0	2.268341937	27
118	717000	610	0	2.268341937	27
119	717000	610	0	2.268341937	27
120	717000	610	0	2.268341937	27
121	717000	610	0	2.268341937	27
122	717000	610	0	2.268341937	27
123	717000	610	0	2.268341937	27
